Bloc	Knesset	Locality	Station	Votes
Left	16	70	10	95
Orthodox	16	70	10	33
Arab-Israeli	16	70	10	1
Micro	16	70	10	5
Secular Centre	16	70	10	19
Sectoral	16	70	10	0
Right	16	70	10	101
Left	16	100	10	4
Orthodox	16	100	10	103
Arab-Israeli	16	100	10	1
Micro	16	100	10	5
Secular Centre	16	100	10	1
Sectoral	16	100	10	0
Right	16	100	10	80
Left	16	110	10	45
Orthodox	16	110	10	12
Arab-Israeli	16	110	10	0
Micro	16	110	10	4
Secular Centre	16	110	10	14
Sectoral	16	110	10	3
Right	16	110	10	83
Left	16	130	10	133
Orthodox	16	130	10	7
Arab-Israeli	16	130	10	0
Micro	16	130	10	4
Secular Centre	16	130	10	60
Sectoral	16	130	10	7
Right	16	130	10	63
Left	16	150	10	9
Orthodox	16	150	10	98
Arab-Israeli	16	150	10	1
Micro	16	150	10	1
Secular Centre	16	150	10	0
Sectoral	16	150	10	0
Right	16	150	10	114
Left	16	160	10	137
Orthodox	16	160	10	0
Arab-Israeli	16	160	10	1
Micro	16	160	10	4
Secular Centre	16	160	10	2
Sectoral	16	160	10	12
Right	16	160	10	0
Left	16	180	10	80
Orthodox	16	180	10	9
Arab-Israeli	16	180	10	0
Micro	16	180	10	1
Secular Centre	16	180	10	36
Sectoral	16	180	10	1
Right	16	180	10	73
Left	16	220	10	62
Orthodox	16	220	10	18
Arab-Israeli	16	220	10	0
Micro	16	220	10	0
Secular Centre	16	220	10	21
Sectoral	16	220	10	1
Right	16	220	10	27
Left	16	230	10	9
Orthodox	16	230	10	2
Arab-Israeli	16	230	10	0
Micro	16	230	10	0
Secular Centre	16	230	10	6
Sectoral	16	230	10	3
Right	16	230	10	47
Left	16	240	10	194
Orthodox	16	240	10	4
Arab-Israeli	16	240	10	0
Micro	16	240	10	3
Secular Centre	16	240	10	55
Sectoral	16	240	10	1
Right	16	240	10	33
Left	16	260	10	216
Orthodox	16	260	10	16
Arab-Israeli	16	260	10	4
Micro	16	260	10	8
Secular Centre	16	260	10	48
Sectoral	16	260	10	33
Right	16	260	10	77
Left	16	260	20	156
Orthodox	16	260	20	33
Arab-Israeli	16	260	20	3
Micro	16	260	20	10
Secular Centre	16	260	20	44
Sectoral	16	260	20	15
Right	16	260	20	99
Left	16	260	30	148
Orthodox	16	260	30	23
Arab-Israeli	16	260	30	1
Micro	16	260	30	6
Secular Centre	16	260	30	69
Sectoral	16	260	30	16
Right	16	260	30	147
Left	16	270	10	6
Orthodox	16	270	10	65
Arab-Israeli	16	270	10	0
Micro	16	270	10	3
Secular Centre	16	270	10	2
Sectoral	16	270	10	0
Right	16	270	10	53
Left	16	280	10	171
Orthodox	16	280	10	44
Arab-Israeli	16	280	10	2
Micro	16	280	10	4
Secular Centre	16	280	10	97
Sectoral	16	280	10	8
Right	16	280	10	234
Left	16	280	20	164
Orthodox	16	280	20	31
Arab-Israeli	16	280	20	0
Micro	16	280	20	7
Secular Centre	16	280	20	108
Sectoral	16	280	20	69
Right	16	280	20	191
Left	16	280	30	80
Orthodox	16	280	30	63
Arab-Israeli	16	280	30	0
Micro	16	280	30	3
Secular Centre	16	280	30	57
Sectoral	16	280	30	7
Right	16	280	30	209
Left	16	280	40	200
Orthodox	16	280	40	27
Arab-Israeli	16	280	40	0
Micro	16	280	40	6
Secular Centre	16	280	40	98
Sectoral	16	280	40	11
Right	16	280	40	191
Left	16	280	50	104
Orthodox	16	280	50	69
Arab-Israeli	16	280	50	3
Micro	16	280	50	4
Secular Centre	16	280	50	43
Sectoral	16	280	50	9
Right	16	280	50	192
Left	16	280	60	212
Orthodox	16	280	60	21
Arab-Israeli	16	280	60	0
Micro	16	280	60	2
Secular Centre	16	280	60	139
Sectoral	16	280	60	10
Right	16	280	60	186
Left	16	280	70	196
Orthodox	16	280	70	23
Arab-Israeli	16	280	70	0
Micro	16	280	70	6
Secular Centre	16	280	70	81
Sectoral	16	280	70	8
Right	16	280	70	138
Left	16	290	10	206
Orthodox	16	290	10	31
Arab-Israeli	16	290	10	0
Micro	16	290	10	17
Secular Centre	16	290	10	78
Sectoral	16	290	10	0
Right	16	290	10	255
Left	16	310	10	51
Orthodox	16	310	10	81
Arab-Israeli	16	310	10	0
Micro	16	310	10	4
Secular Centre	16	310	10	2
Sectoral	16	310	10	2
Right	16	310	10	112
Left	16	310	20	52
Orthodox	16	310	20	110
Arab-Israeli	16	310	20	2
Micro	16	310	20	10
Secular Centre	16	310	20	8
Sectoral	16	310	20	6
Right	16	310	20	129
Left	16	310	30	49
Orthodox	16	310	30	93
Arab-Israeli	16	310	30	0
Micro	16	310	30	5
Secular Centre	16	310	30	16
Sectoral	16	310	30	7
Right	16	310	30	151
Left	16	310	40	62
Orthodox	16	310	40	120
Arab-Israeli	16	310	40	1
Micro	16	310	40	3
Secular Centre	16	310	40	3
Sectoral	16	310	40	4
Right	16	310	40	120
Left	16	310	50	36
Orthodox	16	310	50	65
Arab-Israeli	16	310	50	1
Micro	16	310	50	7
Secular Centre	16	310	50	17
Sectoral	16	310	50	24
Right	16	310	50	117
Left	16	310	60	40
Orthodox	16	310	60	104
Arab-Israeli	16	310	60	0
Micro	16	310	60	7
Secular Centre	16	310	60	2
Sectoral	16	310	60	12
Right	16	310	60	127
Left	16	310	70	58
Orthodox	16	310	70	113
Arab-Israeli	16	310	70	3
Micro	16	310	70	11
Secular Centre	16	310	70	14
Sectoral	16	310	70	31
Right	16	310	70	204
Left	16	310	80	52
Orthodox	16	310	80	161
Arab-Israeli	16	310	80	0
Micro	16	310	80	4
Secular Centre	16	310	80	19
Sectoral	16	310	80	26
Right	16	310	80	164
Left	16	310	90	58
Orthodox	16	310	90	80
Arab-Israeli	16	310	90	1
Micro	16	310	90	6
Secular Centre	16	310	90	14
Sectoral	16	310	90	10
Right	16	310	90	149
Left	16	310	100	23
Orthodox	16	310	100	321
Arab-Israeli	16	310	100	1
Micro	16	310	100	2
Secular Centre	16	310	100	8
Sectoral	16	310	100	12
Right	16	310	100	104
Left	16	310	110	15
Orthodox	16	310	110	459
Arab-Israeli	16	310	110	0
Micro	16	310	110	5
Secular Centre	16	310	110	13
Sectoral	16	310	110	10
Right	16	310	110	73
Left	16	310	120	15
Orthodox	16	310	120	535
Arab-Israeli	16	310	120	0
Micro	16	310	120	2
Secular Centre	16	310	120	14
Sectoral	16	310	120	15
Right	16	310	120	68
Left	16	310	130	86
Orthodox	16	310	130	162
Arab-Israeli	16	310	130	1
Micro	16	310	130	0
Secular Centre	16	310	130	14
Sectoral	16	310	130	9
Right	16	310	130	209
Left	16	310	140	63
Orthodox	16	310	140	280
Arab-Israeli	16	310	140	1
Micro	16	310	140	3
Secular Centre	16	310	140	8
Sectoral	16	310	140	3
Right	16	310	140	143
Left	16	310	150	40
