Bloc	Knesset	Locality	Party	Station	Votes
Left	14	70	52	10	103
Orthodox	14	70	53	10	10
Orthodox	14	70	54	10	1
Micro	14	70	55	10	0
Micro	14	70	56	10	1
Secular Centre	14	70	57	10	7
Arab-Israeli	14	70	58	10	0
Micro	14	70	59	10	0
Right	14	70	60	10	4
Micro	14	70	61	10	0
Sectoral	14	70	62	10	3
Right	14	70	63	10	85
Left	14	70	64	10	12
Micro	14	70	65	10	0
Arab-Israeli	14	70	66	10	0
Micro	14	70	67	10	0
Micro	14	70	68	10	0
Micro	14	70	69	10	0
Orthodox	14	70	70	10	29
Micro	14	70	71	10	1
Left	14	100	52	10	5
Orthodox	14	100	53	10	74
Orthodox	14	100	54	10	3
Micro	14	100	55	10	0
Micro	14	100	56	10	0
Secular Centre	14	100	57	10	0
Arab-Israeli	14	100	58	10	0
Micro	14	100	59	10	0
Right	14	100	60	10	1
Micro	14	100	61	10	0
Sectoral	14	100	62	10	0
Right	14	100	63	10	70
Left	14	100	64	10	0
Micro	14	100	65	10	0
Arab-Israeli	14	100	66	10	0
Micro	14	100	67	10	0
Micro	14	100	68	10	0
Micro	14	100	69	10	0
Orthodox	14	100	70	10	45
Micro	14	100	71	10	0
Left	14	110	52	10	47
Orthodox	14	110	53	10	8
Orthodox	14	110	54	10	1
Micro	14	110	55	10	0
Micro	14	110	56	10	1
Secular Centre	14	110	57	10	9
Arab-Israeli	14	110	58	10	1
Micro	14	110	59	10	0
Right	14	110	60	10	3
Micro	14	110	61	10	0
Sectoral	14	110	62	10	0
Right	14	110	63	10	54
Left	14	110	64	10	10
Micro	14	110	65	10	0
Arab-Israeli	14	110	66	10	0
Micro	14	110	67	10	0
Micro	14	110	68	10	0
Micro	14	110	69	10	0
Orthodox	14	110	70	10	10
Micro	14	110	71	10	2
Left	14	130	52	10	172
Orthodox	14	130	53	10	7
Orthodox	14	130	54	10	1
Micro	14	130	55	10	0
Micro	14	130	56	10	4
Secular Centre	14	130	57	10	23
Arab-Israeli	14	130	58	10	0
Micro	14	130	59	10	0
Right	14	130	60	10	1
Micro	14	130	61	10	0
Sectoral	14	130	62	10	3
Right	14	130	63	10	58
Left	14	130	64	10	45
Micro	14	130	65	10	0
Arab-Israeli	14	130	66	10	0
Micro	14	130	67	10	0
Micro	14	130	68	10	0
Micro	14	130	69	10	0
Orthodox	14	130	70	10	2
Micro	14	130	71	10	0
Left	14	150	52	10	6
Orthodox	14	150	53	10	94
Orthodox	14	150	54	10	2
Micro	14	150	55	10	0
Micro	14	150	56	10	1
Secular Centre	14	150	57	10	1
Arab-Israeli	14	150	58	10	0
Micro	14	150	59	10	0
Right	14	150	60	10	3
Micro	14	150	61	10	0
Sectoral	14	150	62	10	0
Right	14	150	63	10	85
Left	14	150	64	10	2
Micro	14	150	65	10	0
Arab-Israeli	14	150	66	10	0
Micro	14	150	67	10	0
Micro	14	150	68	10	0
Micro	14	150	69	10	0
Orthodox	14	150	70	10	36
Micro	14	150	71	10	0
Left	14	160	52	10	61
Orthodox	14	160	53	10	1
Orthodox	14	160	54	10	0
Micro	14	160	55	10	0
Micro	14	160	56	10	0
Secular Centre	14	160	57	10	3
Arab-Israeli	14	160	58	10	1
Micro	14	160	59	10	0
Right	14	160	60	10	0
Micro	14	160	61	10	0
Sectoral	14	160	62	10	3
Right	14	160	63	10	7
Left	14	160	64	10	93
Micro	14	160	65	10	0
Arab-Israeli	14	160	66	10	0
Micro	14	160	67	10	0
Micro	14	160	68	10	0
Micro	14	160	69	10	1
Orthodox	14	160	70	10	0
Micro	14	160	71	10	0
Left	14	180	52	10	90
Orthodox	14	180	53	10	4
Orthodox	14	180	54	10	0
Micro	14	180	55	10	0
Micro	14	180	56	10	1
Secular Centre	14	180	57	10	8
Arab-Israeli	14	180	58	10	0
Micro	14	180	59	10	0
Right	14	180	60	10	9
Micro	14	180	61	10	0
Sectoral	14	180	62	10	0
Right	14	180	63	10	36
Left	14	180	64	10	10
Micro	14	180	65	10	0
Arab-Israeli	14	180	66	10	0
Micro	14	180	67	10	0
Micro	14	180	68	10	0
Micro	14	180	69	10	0
Orthodox	14	180	70	10	1
Micro	14	180	71	10	0
Left	14	220	52	10	68
Orthodox	14	220	53	10	29
Orthodox	14	220	54	10	0
Micro	14	220	55	10	0
Micro	14	220	56	10	0
Secular Centre	14	220	57	10	6
Arab-Israeli	14	220	58	10	0
Micro	14	220	59	10	0
Right	14	220	60	10	1
Micro	14	220	61	10	0
Sectoral	14	220	62	10	2
Right	14	220	63	10	34
Left	14	220	64	10	13
Micro	14	220	65	10	0
Arab-Israeli	14	220	66	10	0
Micro	14	220	67	10	0
Micro	14	220	68	10	0
Micro	14	220	69	10	0
Orthodox	14	220	70	10	1
Micro	14	220	71	10	0
Left	14	230	52	10	10
Orthodox	14	230	53	10	3
Orthodox	14	230	54	10	0
Micro	14	230	55	10	0
Micro	14	230	56	10	0
Secular Centre	14	230	57	10	4
Arab-Israeli	14	230	58	10	0
Micro	14	230	59	10	0
Right	14	230	60	10	2
Micro	14	230	61	10	0
Sectoral	14	230	62	10	0
Right	14	230	63	10	44
Left	14	230	64	10	3
Micro	14	230	65	10	0
Arab-Israeli	14	230	66	10	0
Micro	14	230	67	10	1
Micro	14	230	68	10	0
Micro	14	230	69	10	0
Orthodox	14	230	70	10	2
Micro	14	230	71	10	0
Left	14	240	52	10	172
Orthodox	14	240	53	10	4
Orthodox	14	240	54	10	0
Micro	14	240	55	10	0
Micro	14	240	56	10	0
Secular Centre	14	240	57	10	5
Arab-Israeli	14	240	58	10	0
Micro	14	240	59	10	0
Right	14	240	60	10	2
Micro	14	240	61	10	0
Sectoral	14	240	62	10	0
Right	14	240	63	10	17
Left	14	240	64	10	38
Micro	14	240	65	10	0
Arab-Israeli	14	240	66	10	0
Micro	14	240	67	10	0
Micro	14	240	68	10	0
Micro	14	240	69	10	0
Orthodox	14	240	70	10	0
Micro	14	240	71	10	0
Left	14	260	52	10	162
Orthodox	14	260	53	10	13
Orthodox	14	260	54	10	2
Micro	14	260	55	10	0
Micro	14	260	56	10	0
Secular Centre	14	260	57	10	37
Arab-Israeli	14	260	58	10	4
Micro	14	260	59	10	0
Right	14	260	60	10	11
Micro	14	260	61	10	0
Sectoral	14	260	62	10	9
Right	14	260	63	10	67
Left	14	260	64	10	109
Micro	14	260	65	10	0
Arab-Israeli	14	260	66	10	2
Micro	14	260	67	10	3
Micro	14	260	68	10	0
Micro	14	260	69	10	1
Orthodox	14	260	70	10	13
Micro	14	260	71	10	0
Left	14	260	52	20	207
Orthodox	14	260	53	20	29
Orthodox	14	260	54	20	2
Micro	14	260	55	20	0
Micro	14	260	56	20	2
Secular Centre	14	260	57	20	40
Arab-Israeli	14	260	58	20	1
Micro	14	260	59	20	0
Right	14	260	60	20	24
Micro	14	260	61	20	1
Sectoral	14	260	62	20	0
Right	14	260	63	20	169
Left	14	260	64	20	61
Micro	14	260	65	20	0
Arab-Israeli	14	260	66	20	0
Micro	14	260	67	20	6
Micro	14	260	68	20	1
Micro	14	260	69	20	0
Orthodox	14	260	70	20	15
Micro	14	260	71	20	0
Left	14	270	52	10	20
Orthodox	14	270	53	10	4
Orthodox	14	270	54	10	0
Micro	14	270	55	10	0
Micro	14	270	56	10	1
Secular Centre	14	270	57	10	3
Arab-Israeli	14	270	58	10	0
Micro	14	270	59	10	0
Right	14	270	60	10	3
Micro	14	270	61	10	0
Sectoral	14	270	62	10	0
Right	14	270	63	10	22
Left	14	270	64	10	1
Micro	14	270	65	10	0
Arab-Israeli	14	270	66	10	0
Micro	14	270	67	10	0
Micro	14	270	68	10	0
Micro	14	270	69	10	0
Orthodox	14	270	70	10	94
Micro	14	270	71	10	4
Left	14	280	52	10	299
Orthodox	14	280	53	10	53
Orthodox	14	280	54	10	1
Micro	14	280	55	10	0
Micro	14	280	56	10	2
Secular Centre	14	280	57	10	37
Arab-Israeli	14	280	58	10	1
Micro	14	280	59	10	0
Right	14	280	60	10	14
Micro	14	280	61	10	3
Sectoral	14	280	62	10	19
Right	14	280	63	10	292
Left	14	280	64	10	63
Micro	14	280	65	10	0
Arab-Israeli	14	280	66	10	1
Micro	14	280	67	10	1
Micro	14	280	68	10	0
Micro	14	280	69	10	2
Orthodox	14	280	70	10	117
Micro	14	280	71	10	0
Left	14	280	52	20	168
Orthodox	14	280	53	20	29
Orthodox	14	280	54	20	0
Micro	14	280	55	20	0
Micro	14	280	56	20	0
Secular Centre	14	280	57	20	22
Arab-Israeli	14	280	58	20	0
Micro	14	280	59	20	0
Right	14	280	60	20	10
Micro	14	280	61	20	0
Sectoral	14	280	62	20	5
Right	14	280	63	20	91
Left	14	280	64	20	86
Micro	14	280	65	20	0
Arab-Israeli	14	280	66	20	0
Micro	14	280	67	20	0
Micro	14	280	68	20	0
Micro	14	280	69	20	0
Orthodox	14	280	70	20	17
Micro	14	280	71	20	0
Left	14	280	52	30	105
Orthodox	14	280	53	30	40
Orthodox	14	280	54	30	2
Micro	14	280	55	30	0
Micro	14	280	56	30	0
Secular Centre	14	280	57	30	22
Arab-Israeli	14	280	58	30	0
Micro	14	280	59	30	0
Right	14	280	60	30	22
Micro	14	280	61	30	0
Sectoral	14	280	62	30	19
Right	14	280	63	30	175
Left	14	280	64	30	23
Micro	14	280	65	30	0
Arab-Israeli	14	280	66	30	0
Micro	14	280	67	30	1
Micro	14	280	68	30	0
Micro	14	280	69	30	2
Orthodox	14	280	70	30	52
Micro	14	280	71	30	1
Left	14	280	52	40	302
Orthodox	14	280	53	40	63
Orthodox	14	280	54	40	2
Micro	14	280	55	40	0
Micro	14	280	56	40	0
Secular Centre	14	280	57	40	30
Arab-Israeli	14	280	58	40	0
Micro	14	280	59	40	0
Right	14	280	60	40	17
Micro	14	280	61	40	0
Sectoral	14	280	62	40	4
Right	14	280	63	40	173
Left	14	280	64	40	83
Micro	14	280	65	40	0
Arab-Israeli	14	280	66	40	0
Micro	14	280	67	40	0
Micro	14	280	68	40	0
Micro	14	280	69	40	0
Orthodox	14	280	70	40	22
Micro	14	280	71	40	1
Left	14	290	52	10	189
Orthodox	14	290	53	10	27
Orthodox	14	290	54	10	6
Micro	14	290	55	10	1
Micro	14	290	56	10	2
Secular Centre	14	290	57	10	41
Arab-Israeli	14	290	58	10	2
Micro	14	290	59	10	0
Right	14	290	60	10	16
Micro	14	290	61	10	0
Sectoral	14	290	62	10	2
Right	14	290	63	10	218
Left	14	290	64	10	29
Micro	14	290	65	10	0
Arab-Israeli	14	290	66	10	0
Micro	14	290	67	10	3
Micro	14	290	68	10	0
Micro	14	290	69	10	0
Orthodox	14	290	70	10	4
Micro	14	290	71	10	1
Left	14	310	52	10	53
Orthodox	14	310	53	10	54
Orthodox	14	310	54	10	8
Micro	14	310	55	10	0
Micro	14	310	56	10	0
Secular Centre	14	310	57	10	4
Arab-Israeli	14	310	58	10	1
Micro	14	310	59	10	1
Right	14	310	60	10	6
Micro	14	310	61	10	0
Sectoral	14	310	62	10	7
Right	14	310	63	10	113
Left	14	310	64	10	7
Micro	14	310	65	10	0
Arab-Israeli	14	310	66	10	0
Micro	14	310	67	10	3
Micro	14	310	68	10	1
Micro	14	310	69	10	2
Orthodox	14	310	70	10	124
Micro	14	310	71	10	1
Left	14	310	52	20	55
Orthodox	14	310	53	20	31
Orthodox	14	310	54	20	51
Micro	14	310	55	20	0
Micro	14	310	56	20	0
Secular Centre	14	310	57	20	3
Arab-Israeli	14	310	58	20	0
Micro	14	310	59	20	0
Right	14	310	60	20	9
Micro	14	310	61	20	0
Sectoral	14	310	62	20	18
Right	14	310	63	20	94
Left	14	310	64	20	3
Micro	14	310	65	20	1
Arab-Israeli	14	310	66	20	3
Micro	14	310	67	20	0
Micro	14	310	68	20	0
Micro	14	310	69	20	2
Orthodox	14	310	70	20	104
Micro	14	310	71	20	10
Left	14	310	52	30	62
Orthodox	14	310	53	30	66
Orthodox	14	310	54	30	14
Micro	14	310	55	30	0
Micro	14	310	56	30	1
Secular Centre	14	310	57	30	3
Arab-Israeli	14	310	58	30	1
Micro	14	310	59	30	0
Right	14	310	60	30	7
Micro	14	310	61	30	0
Sectoral	14	310	62	30	9
Right	14	310	63	30	117
Left	14	310	64	30	9
Micro	14	310	65	30	0
Arab-Israeli	14	310	66	30	0
Micro	14	310	67	30	0
Micro	14	310	68	30	0
Micro	14	310	69	30	4
Orthodox	14	310	70	30	80
Micro	14	310	71	30	2
Left	14	310	52	40	77
Orthodox	14	310	53	40	43
Orthodox	14	310	54	40	16
Micro	14	310	55	40	0
Micro	14	310	56	40	0
Secular Centre	14	310	57	40	4
Arab-Israeli	14	310	58	40	0
Micro	14	310	59	40	2
Right	14	310	60	40	2
Micro	14	310	61	40	0
Sectoral	14	310	62	40	16
Right	14	310	63	40	107
Left	14	310	64	40	14
Micro	14	310	65	40	2
Arab-Israeli	14	310	66	40	1
Micro	14	310	67	40	0
Micro	14	310	68	40	1
Micro	14	310	69	40	1
Orthodox	14	310	70	40	120
Micro	14	310	71	40	6
Left	14	310	52	50	71
Orthodox	14	310	53	50	42
Orthodox	14	310	54	50	21
Micro	14	310	55	50	1
Micro	14	310	56	50	6
Secular Centre	14	310	57	50	10
Arab-Israeli	14	310	58	50	1
Micro	14	310	59	50	0
Right	14	310	60	50	8
Micro	14	310	61	50	2
Sectoral	14	310	62	50	104
Right	14	310	63	50	106
Left	14	310	64	50	13
Micro	14	310	65	50	2
Arab-Israeli	14	310	66	50	0
Micro	14	310	67	50	1
Micro	14	310	68	50	0
Micro	14	310	69	50	35
Orthodox	14	310	70	50	123
Micro	14	310	71	50	4
Left	14	310	52	60	60
Orthodox	14	310	53	60	58
Orthodox	14	310	54	60	18
Micro	14	310	55	60	0
