Bloc	Knesset	Locality	Station	Votes
Secular Centre	18	4730	100	31
Left	18	4730	110	49
Micro	18	4730	110	3
Right	18	4730	110	117
Orthodox	18	4730	110	18
Arab-Israeli	18	4730	110	155
Secular Centre	18	4730	110	78
Left	18	9680	10	6
Micro	18	9680	10	3
Right	18	9680	10	1
Orthodox	18	9680	10	1
Arab-Israeli	18	9680	10	112
Secular Centre	18	9680	10	12
Left	18	9680	20	0
Micro	18	9680	20	2
Right	18	9680	20	2
Orthodox	18	9680	20	1
Arab-Israeli	18	9680	20	84
Secular Centre	18	9680	20	5
Left	18	9680	30	15
Micro	18	9680	30	12
Right	18	9680	30	4
Orthodox	18	9680	30	7
Arab-Israeli	18	9680	30	153
Secular Centre	18	9680	30	10
Left	18	9680	40	2
Micro	18	9680	40	5
Right	18	9680	40	1
Orthodox	18	9680	40	1
Arab-Israeli	18	9680	40	71
Secular Centre	18	9680	40	8
Left	18	9660	10	5
Micro	18	9660	10	12
Right	18	9660	10	3
Orthodox	18	9660	10	3
Arab-Israeli	18	9660	10	66
Secular Centre	18	9660	10	0
Left	18	9660	20	7
Micro	18	9660	20	8
Right	18	9660	20	1
Orthodox	18	9660	20	6
Arab-Israeli	18	9660	20	95
Secular Centre	18	9660	20	1
Left	18	9660	30	2
Micro	18	9660	30	8
Right	18	9660	30	7
Orthodox	18	9660	30	3
Arab-Israeli	18	9660	30	141
Secular Centre	18	9660	30	2
Left	18	9660	40	1
Micro	18	9660	40	8
Right	18	9660	40	1
Orthodox	18	9660	40	3
Arab-Israeli	18	9660	40	89
Secular Centre	18	9660	40	3
Left	18	9610	10	0
Micro	18	9610	10	4
Right	18	9610	10	3
Orthodox	18	9610	10	0
Arab-Israeli	18	9610	10	83
Secular Centre	18	9610	10	0
Left	18	9610	20	0
Micro	18	9610	20	5
Right	18	9610	20	1
Orthodox	18	9610	20	0
Arab-Israeli	18	9610	20	93
Secular Centre	18	9610	20	2
Left	18	9610	30	2
Micro	18	9610	30	8
Right	18	9610	30	2
Orthodox	18	9610	30	1
Arab-Israeli	18	9610	30	72
Secular Centre	18	9610	30	0
Left	18	9610	40	5
Micro	18	9610	40	4
Right	18	9610	40	0
Orthodox	18	9610	40	1
Arab-Israeli	18	9610	40	132
Secular Centre	18	9610	40	0
Left	18	9610	50	0
Micro	18	9610	50	4
Right	18	9610	50	1
Orthodox	18	9610	50	1
Arab-Israeli	18	9610	50	133
Secular Centre	18	9610	50	0
Left	18	9610	60	1
Micro	18	9610	60	5
Right	18	9610	60	0
Orthodox	18	9610	60	2
Arab-Israeli	18	9610	60	89
Secular Centre	18	9610	60	0
Left	18	6520	10	3
Micro	18	6520	10	0
Right	18	6520	10	1
Orthodox	18	6520	10	1
Arab-Israeli	18	6520	10	304
Secular Centre	18	6520	10	4
Left	18	6520	20	0
Micro	18	6520	20	8
Right	18	6520	20	3
Orthodox	18	6520	20	3
Arab-Israeli	18	6520	20	105
Secular Centre	18	6520	20	1
Left	18	6520	30	4
Micro	18	6520	30	6
Right	18	6520	30	4
Orthodox	18	6520	30	3
Arab-Israeli	18	6520	30	241
Secular Centre	18	6520	30	0
Left	18	12750	10	35
Micro	18	12750	10	8
Right	18	12750	10	22
Orthodox	18	12750	10	0
Arab-Israeli	18	12750	10	0
Secular Centre	18	12750	10	68
Left	18	6790	10	42
Micro	18	6790	10	29
Right	18	6790	10	111
Orthodox	18	6790	10	10
Arab-Israeli	18	6790	10	1
Secular Centre	18	6790	10	142
Left	18	11150	10	70
Micro	18	11150	10	1
Right	18	11150	10	68
Orthodox	18	11150	10	61
Arab-Israeli	18	11150	10	0
Secular Centre	18	11150	10	4
Left	18	8190	10	124
Micro	18	8190	10	14
Right	18	8190	10	89
Orthodox	18	8190	10	3
Arab-Israeli	18	8190	10	2
Secular Centre	18	8190	10	171
Left	18	1750	10	131
Micro	18	1750	10	17
Right	18	1750	10	60
Orthodox	18	1750	10	3
Arab-Israeli	18	1750	10	0
Secular Centre	18	1750	10	106
Left	18	1750	20	123
Micro	18	1750	20	19
Right	18	1750	20	63
Orthodox	18	1750	20	1
Arab-Israeli	18	1750	20	1
Secular Centre	18	1750	20	147
Left	18	20520	10	24
Micro	18	20520	10	2
Right	18	20520	10	197
Orthodox	18	20520	10	17
Arab-Israeli	18	20520	10	0
Secular Centre	18	20520	10	21
Left	18	10700	10	24
Micro	18	10700	10	22
Right	18	10700	10	123
Orthodox	18	10700	10	26
Arab-Israeli	18	10700	10	2
Secular Centre	18	10700	10	46
Left	18	12200	10	42
Micro	18	12200	10	14
Right	18	12200	10	19
Orthodox	18	12200	10	1
Arab-Israeli	18	12200	10	6
Secular Centre	18	12200	10	28
Left	18	1820	10	125
Micro	18	1820	10	8
Right	18	1820	10	147
Orthodox	18	1820	10	21
Arab-Israeli	18	1820	10	0
Secular Centre	18	1820	10	162
Left	18	1820	20	53
Micro	18	1820	20	7
Right	18	1820	20	147
Orthodox	18	1820	20	28
Arab-Israeli	18	1820	20	1
Secular Centre	18	1820	20	115
Left	18	1820	30	129
Micro	18	1820	30	14
Right	18	1820	30	106
Orthodox	18	1820	30	3
Arab-Israeli	18	1820	30	5
Secular Centre	18	1820	30	174
Left	18	1820	40	132
Micro	18	1820	40	16
Right	18	1820	40	88
Orthodox	18	1820	40	6
Arab-Israeli	18	1820	40	1
Secular Centre	18	1820	40	192
Left	18	1820	50	57
Micro	18	1820	50	11
Right	18	1820	50	128
Orthodox	18	1820	50	18
Arab-Israeli	18	1820	50	0
Secular Centre	18	1820	50	156
Left	18	1820	60	105
Micro	18	1820	60	19
Right	18	1820	60	96
Orthodox	18	1820	60	9
Arab-Israeli	18	1820	60	2
Secular Centre	18	1820	60	211
Left	18	1820	70	156
Micro	18	1820	70	10
Right	18	1820	70	133
Orthodox	18	1820	70	8
Arab-Israeli	18	1820	70	1
Secular Centre	18	1820	70	259
Left	18	1820	80	27
Micro	18	1820	80	9
Right	18	1820	80	133
Orthodox	18	1820	80	41
Arab-Israeli	18	1820	80	0
Secular Centre	18	1820	80	67
Left	18	1820	90	158
Micro	18	1820	90	21
Right	18	1820	90	101
Orthodox	18	1820	90	4
Arab-Israeli	18	1820	90	3
Secular Centre	18	1820	90	305
Left	18	1820	100	100
Micro	18	1820	100	23
Right	18	1820	100	164
Orthodox	18	1820	100	16
Arab-Israeli	18	1820	100	1
Secular Centre	18	1820	100	149
Left	18	1820	110	101
Micro	18	1820	110	14
Right	18	1820	110	80
Orthodox	18	1820	110	5
Arab-Israeli	18	1820	110	2
Secular Centre	18	1820	110	123
Left	18	1820	120	101
Micro	18	1820	120	9
Right	18	1820	120	83
Orthodox	18	1820	120	6
Arab-Israeli	18	1820	120	2
Secular Centre	18	1820	120	142
Left	18	1820	130	17
Micro	18	1820	130	4
Right	18	1820	130	150
Orthodox	18	1820	130	46
Arab-Israeli	18	1820	130	0
Secular Centre	18	1820	130	53
Left	18	10810	10	111
Micro	18	10810	10	1
Right	18	10810	10	33
Orthodox	18	10810	10	20
Arab-Israeli	18	10810	10	0
Secular Centre	18	10810	10	11
Left	18	7830	10	55
Micro	18	7830	10	11
Right	18	7830	10	150
Orthodox	18	7830	10	21
Arab-Israeli	18	7830	10	2
Secular Centre	18	7830	10	55
Left	18	4000	10	4
Micro	18	4000	10	1
Right	18	4000	10	184
Orthodox	18	4000	10	72
Arab-Israeli	18	4000	10	0
Secular Centre	18	4000	10	3
Left	18	40110	10	2
Micro	18	40110	10	4
Right	18	40110	10	188
Orthodox	18	40110	10	5
Arab-Israeli	18	40110	10	0
Secular Centre	18	40110	10	2
Left	18	37930	10	1
Micro	18	37930	10	1
Right	18	37930	10	369
Orthodox	18	37930	10	70
Arab-Israeli	18	37930	10	0
Secular Centre	18	37930	10	2
Left	18	13110	10	3
Micro	18	13110	10	5
Right	18	13110	10	73
Orthodox	18	13110	10	2
Arab-Israeli	18	13110	10	1
Secular Centre	18	13110	10	5
Left	18	37590	10	1
Micro	18	37590	10	3
Right	18	37590	10	67
Orthodox	18	37590	10	4
Arab-Israeli	18	37590	10	0
Secular Centre	18	37590	10	28
Left	18	1130	10	6
Micro	18	1130	10	1
Right	18	1130	10	67
Orthodox	18	1130	10	74
Arab-Israeli	18	1130	10	0
Secular Centre	18	1130	10	5
Left	18	10680	10	53
Micro	18	10680	10	6
Right	18	10680	10	14
Orthodox	18	10680	10	1
Arab-Israeli	18	10680	10	5
Secular Centre	18	10680	10	23
Left	18	11230	10	2
Micro	18	11230	10	20
Right	18	11230	10	184
Orthodox	18	11230	10	52
Arab-Israeli	18	11230	10	0
Secular Centre	18	11230	10	13
Left	18	4460	10	118
Micro	18	4460	10	23
Right	18	4460	10	99
Orthodox	18	4460	10	5
Arab-Israeli	18	4460	10	1
Secular Centre	18	4460	10	220
Left	18	40100	10	3
Micro	18	40100	10	10
Right	18	40100	10	18
Orthodox	18	40100	10	0
Arab-Israeli	18	40100	10	0
Secular Centre	18	40100	10	27
Left	18	10460	10	42
Micro	18	10460	10	1
Right	18	10460	10	61
Orthodox	18	10460	10	6
Arab-Israeli	18	10460	10	2
Secular Centre	18	10460	10	41
Left	18	27100	10	2
Micro	18	27100	10	0
Right	18	27100	10	0
Orthodox	18	27100	10	3
Arab-Israeli	18	27100	10	271
Secular Centre	18	27100	10	0
Left	18	27100	20	4
Micro	18	27100	20	3
Right	18	27100	20	2
Orthodox	18	27100	20	0
Arab-Israeli	18	27100	20	363
Secular Centre	18	27100	20	0
Left	18	27100	30	0
Micro	18	27100	30	3
Right	18	27100	30	0
Orthodox	18	27100	30	1
Arab-Israeli	18	27100	30	349
Secular Centre	18	27100	30	0
Left	18	27100	40	1
Micro	18	27100	40	4
Right	18	27100	40	0
Orthodox	18	27100	40	0
Arab-Israeli	18	27100	40	250
Secular Centre	18	27100	40	0
Left	18	27100	50	1
Micro	18	27100	50	2
Right	18	27100	50	1
Orthodox	18	27100	50	0
Arab-Israeli	18	27100	50	361
Secular Centre	18	27100	50	0
Left	18	27100	60	4
Micro	18	27100	60	2
Right	18	27100	60	1
Orthodox	18	27100	60	2
Arab-Israeli	18	27100	60	341
Secular Centre	18	27100	60	2
Left	18	27100	70	1
Micro	18	27100	70	1
Right	18	27100	70	0
Orthodox	18	27100	70	0
Arab-Israeli	18	27100	70	436
Secular Centre	18	27100	70	1
Left	18	27100	80	2
Micro	18	27100	80	7
Right	18	27100	80	0
Orthodox	18	27100	80	0
Arab-Israeli	18	27100	80	331
Secular Centre	18	27100	80	0
Left	18	27100	90	3
Micro	18	27100	90	3
Right	18	27100	90	0
Orthodox	18	27100	90	1
Arab-Israeli	18	27100	90	299
Secular Centre	18	27100	90	1
Left	18	27100	100	12
Micro	18	27100	100	4
Right	18	27100	100	0
Orthodox	18	27100	100	2
Arab-Israeli	18	27100	100	237
Secular Centre	18	27100	100	3
Left	18	27100	110	1
Micro	18	27100	110	2
Right	18	27100	110	1
Orthodox	18	27100	110	0
Arab-Israeli	18	27100	110	358
Secular Centre	18	27100	110	4
Left	18	27100	120	3
Micro	18	27100	120	3
Right	18	27100	120	1
Orthodox	18	27100	120	1
Arab-Israeli	18	27100	120	269
Secular Centre	18	27100	120	0
Left	18	27100	130	4
Micro	18	27100	130	1
Right	18	27100	130	2
Orthodox	18	27100	130	3
Arab-Israeli	18	27100	130	289
Secular Centre	18	27100	130	0
Left	18	27100	140	2
Micro	18	27100	140	1
Right	18	27100	140	0
Orthodox	18	27100	140	1
Arab-Israeli	18	27100	140	256
Secular Centre	18	27100	140	4
Left	18	27100	150	2
Micro	18	27100	150	2
Right	18	27100	150	3
Orthodox	18	27100	150	5
Arab-Israeli	18	27100	150	255
Secular Centre	18	27100	150	0
Left	18	27100	160	1
Micro	18	27100	160	3
Right	18	27100	160	0
Orthodox	18	27100	160	4
Arab-Israeli	18	27100	160	215
Secular Centre	18	27100	160	0
Left	18	27100	170	3
Micro	18	27100	170	4
Right	18	27100	170	2
Orthodox	18	27100	170	1
Arab-Israeli	18	27100	170	657
Secular Centre	18	27100	170	0
Left	18	27100	180	0
Micro	18	27100	180	3
Right	18	27100	180	2
Orthodox	18	27100	180	1
Arab-Israeli	18	27100	180	259
Secular Centre	18	27100	180	0
Left	18	27100	190	1
Micro	18	27100	190	6
Right	18	27100	190	0
Orthodox	18	27100	190	0
Arab-Israeli	18	27100	190	398
Secular Centre	18	27100	190	1
Left	18	27100	200	0
Micro	18	27100	200	0
Right	18	27100	200	0
Orthodox	18	27100	200	0
Arab-Israeli	18	27100	200	552
Secular Centre	18	27100	200	0
Left	18	27100	210	1
Micro	18	27100	210	0
Right	18	27100	210	0
Orthodox	18	27100	210	3
Arab-Israeli	18	27100	210	487
Secular Centre	18	27100	210	0
Left	18	27100	220	1
Micro	18	27100	220	1
Right	18	27100	220	1
Orthodox	18	27100	220	0
Arab-Israeli	18	27100	220	493
Secular Centre	18	27100	220	0
Left	18	27100	230	2
Micro	18	27100	230	2
Right	18	27100	230	1
Orthodox	18	27100	230	1
Arab-Israeli	18	27100	230	559
Secular Centre	18	27100	230	0
Left	18	27100	240	5
Micro	18	27100	240	2
Right	18	27100	240	0
Orthodox	18	27100	240	0
Arab-Israeli	18	27100	240	465
Secular Centre	18	27100	240	0
Left	18	27100	250	1
Micro	18	27100	250	0
Right	18	27100	250	0
Orthodox	18	27100	250	0
Arab-Israeli	18	27100	250	353
Secular Centre	18	27100	250	0
Left	18	27100	260	4
Micro	18	27100	260	3
Right	18	27100	260	0
Orthodox	18	27100	260	1
Arab-Israeli	18	27100	260	183
Secular Centre	18	27100	260	1
Left	18	27100	270	3
Micro	18	27100	270	3
Right	18	27100	270	1
Orthodox	18	27100	270	0
Arab-Israeli	18	27100	270	333
Secular Centre	18	27100	270	1
Left	18	27100	280	1
Micro	18	27100	280	9
Right	18	27100	280	1
Orthodox	18	27100	280	4
Arab-Israeli	18	27100	280	570
Secular Centre	18	27100	280	10
Left	18	27100	290	0
Micro	18	27100	290	4
Right	18	27100	290	1
Orthodox	18	27100	290	1
Arab-Israeli	18	27100	290	430
Secular Centre	18	27100	290	3
Left	18	27100	300	2
Micro	18	27100	300	5
Right	18	27100	300	2
Orthodox	18	27100	300	2
Arab-Israeli	18	27100	300	249
Secular Centre	18	27100	300	0
Left	18	27100	310	0
Micro	18	27100	310	1
Right	18	27100	310	0
Orthodox	18	27100	310	0
Arab-Israeli	18	27100	310	445
Secular Centre	18	27100	310	0
Left	18	27100	320	1
Micro	18	27100	320	5
Right	18	27100	320	0
Orthodox	18	27100	320	2
Arab-Israeli	18	27100	320	272
Secular Centre	18	27100	320	0
Left	18	27100	330	0
Micro	18	27100	330	0
Right	18	27100	330	0
Orthodox	18	27100	330	0
Arab-Israeli	18	27100	330	392
Secular Centre	18	27100	330	0
Left	18	27100	340	2
Micro	18	27100	340	1
Right	18	27100	340	0
Orthodox	18	27100	340	0
Arab-Israeli	18	27100	340	213
Secular Centre	18	27100	340	0
Left	18	27100	350	0
Micro	18	27100	350	3
Right	18	27100	350	1
Orthodox	18	27100	350	0
Arab-Israeli	18	27100	350	302
Secular Centre	18	27100	350	0
Left	18	27100	360	3
Micro	18	27100	360	3
Right	18	27100	360	1
Orthodox	18	27100	360	1
Arab-Israeli	18	27100	360	566
Secular Centre	18	27100	360	0
Left	18	27100	370	2
Micro	18	27100	370	3
Right	18	27100	370	0
Orthodox	18	27100	370	3
Arab-Israeli	18	27100	370	244
Secular Centre	18	27100	370	0
Left	18	27100	380	1
Micro	18	27100	380	2
Right	18	27100	380	3
Orthodox	18	27100	380	0
Arab-Israeli	18	27100	380	371
Secular Centre	18	27100	380	0
Left	18	27100	390	3
Micro	18	27100	390	2
Right	18	27100	390	0
Orthodox	18	27100	390	0
Arab-Israeli	18	27100	390	237
Secular Centre	18	27100	390	0
Left	18	27100	400	0
Micro	18	27100	400	2
Right	18	27100	400	0
Orthodox	18	27100	400	0
Arab-Israeli	18	27100	400	348
Secular Centre	18	27100	400	0
Left	18	20240	10	32
Micro	18	20240	10	0
Right	18	20240	10	3
Orthodox	18	20240	10	0
Arab-Israeli	18	20240	10	259
Secular Centre	18	20240	10	1
Left	18	13580	10	11
Micro	18	13580	10	8
Right	18	13580	10	6
Orthodox	18	13580	10	1
Arab-Israeli	18	13580	10	173
Secular Centre	18	13580	10	0
Left	18	11080	10	4
Micro	18	11080	10	4
Right	18	11080	10	102
Orthodox	18	11080	10	14
Arab-Israeli	18	11080	10	0
Secular Centre	18	11080	10	23
Left	18	6800	10	91
Micro	18	6800	10	7
Right	18	6800	10	40
Orthodox	18	6800	10	3
Arab-Israeli	18	6800	10	2
Secular Centre	18	6800	10	104
Left	18	310	10	32
Micro	18	310	10	17
Right	18	310	10	96
Orthodox	18	310	10	50
Arab-Israeli	18	310	10	0
Secular Centre	18	310	10	20
Left	18	310	20	24
Micro	18	310	20	11
Right	18	310	20	122
Orthodox	18	310	20	79
Arab-Israeli	18	310	20	0
Secular Centre	18	310	20	38
Left	18	310	30	25
Micro	18	310	30	15
Right	18	310	30	149
Orthodox	18	310	30	61
Arab-Israeli	18	310	30	0
Secular Centre	18	310	30	25
Left	18	310	40	46
Micro	18	310	40	13
Right	18	310	40	142
Orthodox	18	310	40	71
Arab-Israeli	18	310	40	1
Secular Centre	18	310	40	26
Left	18	310	50	17
Micro	18	310	50	4
Right	18	310	50	112
Orthodox	18	310	50	30
Arab-Israeli	18	310	50	0
Secular Centre	18	310	50	37
Left	18	310	60	28
Micro	18	310	60	6
Right	18	310	60	182
Orthodox	18	310	60	59
Arab-Israeli	18	310	60	0
Secular Centre	18	310	60	31
Left	18	310	70	26
Micro	18	310	70	9
Right	18	310	70	191
Orthodox	18	310	70	42
Arab-Israeli	18	310	70	1
Secular Centre	18	310	70	41
Left	18	310	80	34
Micro	18	310	80	11
Right	18	310	80	222
Orthodox	18	310	80	81
Arab-Israeli	18	310	80	0
Secular Centre	18	310	80	35
Left	18	310	90	53
Micro	18	310	90	24
Right	18	310	90	178
Orthodox	18	310	90	45
Arab-Israeli	18	310	90	1
Secular Centre	18	310	90	49
Left	18	310	100	15
Micro	18	310	100	5
Right	18	310	100	98
Orthodox	18	310	100	370
Arab-Israeli	18	310	100	0
Secular Centre	18	310	100	20
Left	18	310	110	10
Micro	18	310	110	2
Right	18	310	110	55
Orthodox	18	310	110	507
Arab-Israeli	18	310	110	0
Secular Centre	18	310	110	14
Left	18	310	120	1
Micro	18	310	120	3
Right	18	310	120	32
Orthodox	18	310	120	327
Arab-Israeli	18	310	120	1
Secular Centre	18	310	120	7
Left	18	310	130	37
Micro	18	310	130	5
Right	18	310	130	166
Orthodox	18	310	130	78
Arab-Israeli	18	310	130	1
Secular Centre	18	310	130	33
Left	18	310	140	12
Micro	18	310	140	2
Right	18	310	140	78
Orthodox	18	310	140	345
Arab-Israeli	18	310	140	0
Secular Centre	18	310	140	12
Left	18	310	150	5
Micro	18	310	150	11
Right	18	310	150	78
Orthodox	18	310	150	226
Arab-Israeli	18	310	150	0
Secular Centre	18	310	150	23
Left	18	310	160	21
Micro	18	310	160	8
Right	18	310	160	239
Orthodox	18	310	160	26
Arab-Israeli	18	310	160	3
Secular Centre	18	310	160	24
Left	18	310	170	17
Micro	18	310	170	8
Right	18	310	170	204
Orthodox	18	310	170	61
Arab-Israeli	18	310	170	0
Secular Centre	18	310	170	42
Left	18	310	180	19
Micro	18	310	180	13
Right	18	310	180	172
Orthodox	18	310	180	59
Arab-Israeli	18	310	180	2
Secular Centre	18	310	180	21
Left	18	310	190	19
Micro	18	310	190	11
Right	18	310	190	240
Orthodox	18	310	190	30
Arab-Israeli	18	310	190	0
Secular Centre	18	310	190	61
Left	18	310	200	19
Micro	18	310	200	9
Right	18	310	200	236
Orthodox	18	310	200	22
Arab-Israeli	18	310	200	0
Secular Centre	18	310	200	50
Left	18	310	210	30
Micro	18	310	210	8
Right	18	310	210	245
Orthodox	18	310	210	39
Arab-Israeli	18	310	210	0
Secular Centre	18	310	210	35
Left	18	310	220	50
Micro	18	310	220	20
Right	18	310	220	254
Orthodox	18	310	220	109
Arab-Israeli	18	310	220	0
Secular Centre	18	310	220	41
Left	18	310	230	19
Micro	18	310	230	5
Right	18	310	230	243
Orthodox	18	310	230	53
Arab-Israeli	18	310	230	0
Secular Centre	18	310	230	39
Left	18	310	240	32
Micro	18	310	240	7
Right	18	310	240	220
Orthodox	18	310	240	36
Arab-Israeli	18	310	240	0
Secular Centre	18	310	240	59
Left	18	310	250	12
Micro	18	310	250	12
Right	18	310	250	285
Orthodox	18	310	250	30
Arab-Israeli	18	310	250	0
Secular Centre	18	310	250	32
Left	18	310	260	13
Micro	18	310	260	1
Right	18	310	260	109
Orthodox	18	310	260	29
Arab-Israeli	18	310	260	0
Secular Centre	18	310	260	28
Left	18	310	270	16
Micro	18	310	270	7
Right	18	310	270	145
Orthodox	18	310	270	35
Arab-Israeli	18	310	270	1
Secular Centre	18	310	270	33
Left	18	310	280	9
Micro	18	310	280	7
Right	18	310	280	114
Orthodox	18	310	280	360
Arab-Israeli	18	310	280	0
Secular Centre	18	310	280	12
Left	18	310	300	23
Micro	18	310	300	9
Right	18	310	300	199
Orthodox	18	310	300	108
Arab-Israeli	18	310	300	0
Secular Centre	18	310	300	27
Left	18	12940	10	1
Micro	18	12940	10	0
Right	18	12940	10	15
Orthodox	18	12940	10	84
Arab-Israeli	18	12940	10	0
Secular Centre	18	12940	10	0
Left	18	670	10	106
Micro	18	670	10	7
Right	18	670	10	32
Orthodox	18	670	10	1
Arab-Israeli	18	670	10	2
Secular Centre	18	670	10	133
Left	18	24000	10	14
Micro	18	24000	10	4
Right	18	24000	10	107
Orthodox	18	24000	10	39
Arab-Israeli	18	24000	10	1
Secular Centre	18	24000	10	29
Left	18	24000	20	20
Micro	18	24000	20	13
Right	18	24000	20	132
Orthodox	18	24000	20	94
Arab-Israeli	18	24000	20	1
Secular Centre	18	24000	20	57
Left	18	24000	30	26
Micro	18	24000	30	6
Right	18	24000	30	152
Orthodox	18	24000	30	86
Arab-Israeli	18	24000	30	0
Secular Centre	18	24000	30	63
Left	18	24000	40	8
Micro	18	24000	40	8
Right	18	24000	40	129
Orthodox	18	24000	40	67
Arab-Israeli	18	24000	40	0
Secular Centre	18	24000	40	48
Left	18	24000	50	17
Micro	18	24000	50	10
Right	18	24000	50	113
Orthodox	18	24000	50	74
Arab-Israeli	18	24000	50	3
Secular Centre	18	24000	50	43
Left	18	24000	60	19
Micro	18	24000	60	7
Right	18	24000	60	105
Orthodox	18	24000	60	86
Arab-Israeli	18	24000	60	2
Secular Centre	18	24000	60	23
Left	18	24000	70	14
Micro	18	24000	70	12
Right	18	24000	70	140
Orthodox	18	24000	70	102
Arab-Israeli	18	24000	70	0
Secular Centre	18	24000	70	51
Left	18	24000	80	22
Micro	18	24000	80	9
Right	18	24000	80	219
Orthodox	18	24000	80	77
Arab-Israeli	18	24000	80	0
Secular Centre	18	24000	80	75
Left	18	24000	90	20
Micro	18	24000	90	9
Right	18	24000	90	146
Orthodox	18	24000	90	90
Arab-Israeli	18	24000	90	0
Secular Centre	18	24000	90	41
Left	18	24000	100	51
Micro	18	24000	100	6
Right	18	24000	100	182
Orthodox	18	24000	100	57
Arab-Israeli	18	24000	100	0
Secular Centre	18	24000	100	70
Left	18	24000	110	33
Micro	18	24000	110	8
Right	18	24000	110	152
Orthodox	18	24000	110	102
Arab-Israeli	18	24000	110	0
Secular Centre	18	24000	110	81
Left	18	24000	120	24
Micro	18	24000	120	3
Right	18	24000	120	179
Orthodox	18	24000	120	93
Arab-Israeli	18	24000	120	0
Secular Centre	18	24000	120	55
Left	18	24000	130	16
Micro	18	24000	130	6
Right	18	24000	130	153
Orthodox	18	24000	130	60
Arab-Israeli	18	24000	130	0
Secular Centre	18	24000	130	38
Left	18	24000	140	25
Micro	18	24000	140	7
Right	18	24000	140	162
Orthodox	18	24000	140	95
Arab-Israeli	18	24000	140	4
Secular Centre	18	24000	140	60
Left	18	24000	150	4
Micro	18	24000	150	12
Right	18	24000	150	158
Orthodox	18	24000	150	98
Arab-Israeli	18	24000	150	0
Secular Centre	18	24000	150	22
Left	18	24000	160	25
Micro	18	24000	160	3
Right	18	24000	160	140
Orthodox	18	24000	160	62
Arab-Israeli	18	24000	160	0
Secular Centre	18	24000	160	58
Left	18	24000	170	21
Micro	18	24000	170	13
Right	18	24000	170	148
Orthodox	18	24000	170	74
Arab-Israeli	18	24000	170	0
Secular Centre	18	24000	170	46
Left	18	24000	180	14
Micro	18	24000	180	12
Right	18	24000	180	140
Orthodox	18	24000	180	94
Arab-Israeli	18	24000	180	0
Secular Centre	18	24000	180	51
Left	18	24000	190	16
Micro	18	24000	190	9
