Bloc	Knesset	Locality	Station	Votes
Left	19	9670	10	0
Orthodox	19	9670	10	3
Arab-Israeli	19	9670	10	97
Micro	19	9670	10	1
Right	19	9670	10	6
Secular Centre	19	9670	10	3
Sectoral	19	9670	10	0
Left	19	9670	20	2
Orthodox	19	9670	20	1
Arab-Israeli	19	9670	20	93
Micro	19	9670	20	0
Right	19	9670	20	0
Secular Centre	19	9670	20	0
Sectoral	19	9670	20	0
Left	19	4720	10	39
Orthodox	19	4720	10	35
Arab-Israeli	19	4720	10	226
Micro	19	4720	10	4
Right	19	4720	10	19
Secular Centre	19	4720	10	15
Sectoral	19	4720	10	1
Left	19	4720	20	38
Orthodox	19	4720	20	9
Arab-Israeli	19	4720	20	261
Micro	19	4720	20	4
Right	19	4720	20	6
Secular Centre	19	4720	20	3
Sectoral	19	4720	20	1
Left	19	4720	30	33
Orthodox	19	4720	30	7
Arab-Israeli	19	4720	30	241
Micro	19	4720	30	5
Right	19	4720	30	32
Secular Centre	19	4720	30	5
Sectoral	19	4720	30	2
Left	19	4720	40	26
Orthodox	19	4720	40	27
Arab-Israeli	19	4720	40	231
Micro	19	4720	40	7
Right	19	4720	40	15
Secular Centre	19	4720	40	17
Sectoral	19	4720	40	0
Left	19	4720	50	27
Orthodox	19	4720	50	28
Arab-Israeli	19	4720	50	152
Micro	19	4720	50	2
Right	19	4720	50	12
Secular Centre	19	4720	50	5
Sectoral	19	4720	50	0
Left	19	4720	60	18
Orthodox	19	4720	60	14
Arab-Israeli	19	4720	60	179
Micro	19	4720	60	2
Right	19	4720	60	10
Secular Centre	19	4720	60	7
Sectoral	19	4720	60	0
Left	19	4730	10	15
Orthodox	19	4730	10	25
Arab-Israeli	19	4730	10	295
Micro	19	4730	10	3
Right	19	4730	10	9
Secular Centre	19	4730	10	14
Sectoral	19	4730	10	1
Left	19	4730	20	9
Orthodox	19	4730	20	6
Arab-Israeli	19	4730	20	348
Micro	19	4730	20	4
Right	19	4730	20	4
Secular Centre	19	4730	20	9
Sectoral	19	4730	20	0
Left	19	4730	30	20
Orthodox	19	4730	30	20
Arab-Israeli	19	4730	30	244
Micro	19	4730	30	1
Right	19	4730	30	57
Secular Centre	19	4730	30	54
Sectoral	19	4730	30	0
Left	19	4730	40	12
Orthodox	19	4730	40	20
Arab-Israeli	19	4730	40	256
Micro	19	4730	40	3
Right	19	4730	40	7
Secular Centre	19	4730	40	58
Sectoral	19	4730	40	0
Left	19	4730	50	18
Orthodox	19	4730	50	23
Arab-Israeli	19	4730	50	311
Micro	19	4730	50	4
Right	19	4730	50	15
Secular Centre	19	4730	50	50
Sectoral	19	4730	50	0
Left	19	4730	60	13
Orthodox	19	4730	60	40
Arab-Israeli	19	4730	60	270
Micro	19	4730	60	2
Right	19	4730	60	7
Secular Centre	19	4730	60	58
Sectoral	19	4730	60	1
Left	19	4730	70	12
Orthodox	19	4730	70	50
Arab-Israeli	19	4730	70	241
Micro	19	4730	70	4
Right	19	4730	70	11
Secular Centre	19	4730	70	77
Sectoral	19	4730	70	2
Left	19	4730	80	13
Orthodox	19	4730	80	9
Arab-Israeli	19	4730	80	419
Micro	19	4730	80	3
Right	19	4730	80	2
Secular Centre	19	4730	80	6
Sectoral	19	4730	80	0
Left	19	4730	90	15
Orthodox	19	4730	90	23
Arab-Israeli	19	4730	90	267
Micro	19	4730	90	3
Right	19	4730	90	13
Secular Centre	19	4730	90	53
Sectoral	19	4730	90	0
Left	19	4730	100	20
Orthodox	19	4730	100	47
Arab-Israeli	19	4730	100	190
Micro	19	4730	100	14
Right	19	4730	100	32
Secular Centre	19	4730	100	47
Sectoral	19	4730	100	2
Left	19	4730	110	60
Orthodox	19	4730	110	76
Arab-Israeli	19	4730	110	123
Micro	19	4730	110	6
Right	19	4730	110	64
Secular Centre	19	4730	110	42
Sectoral	19	4730	110	1
Left	19	4730	120	49
Orthodox	19	4730	120	37
Arab-Israeli	19	4730	120	208
Micro	19	4730	120	12
Right	19	4730	120	43
Secular Centre	19	4730	120	64
Sectoral	19	4730	120	1
Left	19	9580	10	1
Orthodox	19	9580	10	0
Arab-Israeli	19	9580	10	67
Micro	19	9580	10	0
Right	19	9580	10	1
Secular Centre	19	9580	10	0
Sectoral	19	9580	10	0
Left	19	9680	10	3
Orthodox	19	9680	10	23
Arab-Israeli	19	9680	10	130
Micro	19	9680	10	4
Right	19	9680	10	4
Secular Centre	19	9680	10	0
Sectoral	19	9680	10	0
Left	19	9680	20	3
Orthodox	19	9680	20	21
Arab-Israeli	19	9680	20	104
