Bloc	Knesset	Locality	Station	Votes
Left	20	967	1	4
Orthodox	20	967	1	0
Arab-Israeli	20	967	1	49
Micro	20	967	1	4
Right	20	967	1	2
Secular Centre	20	967	1	2
Sectoral	20	967	1	0
Left	20	967	2	17
Orthodox	20	967	2	3
Arab-Israeli	20	967	2	120
Micro	20	967	2	3
Right	20	967	2	1
Secular Centre	20	967	2	0
Sectoral	20	967	2	0
Left	20	967	3	26
Orthodox	20	967	3	0
Arab-Israeli	20	967	3	73
Micro	20	967	3	2
Right	20	967	3	0
Secular Centre	20	967	3	0
Sectoral	20	967	3	0
Left	20	472	1	46
Orthodox	20	472	1	6
Arab-Israeli	20	472	1	359
Micro	20	472	1	6
Right	20	472	1	10
Secular Centre	20	472	1	11
Sectoral	20	472	1	0
Left	20	472	2	30
Orthodox	20	472	2	3
Arab-Israeli	20	472	2	397
Micro	20	472	2	10
Right	20	472	2	6
Secular Centre	20	472	2	8
Sectoral	20	472	2	1
Left	20	472	3	24
Orthodox	20	472	3	6
Arab-Israeli	20	472	3	384
Micro	20	472	3	15
Right	20	472	3	30
Secular Centre	20	472	3	6
Sectoral	20	472	3	0
Left	20	472	4	32
Orthodox	20	472	4	10
Arab-Israeli	20	472	4	363
Micro	20	472	4	6
Right	20	472	4	5
Secular Centre	20	472	4	3
Sectoral	20	472	4	0
Left	20	472	5	30
Orthodox	20	472	5	10
Arab-Israeli	20	472	5	302
Micro	20	472	5	12
Right	20	472	5	15
Secular Centre	20	472	5	5
Sectoral	20	472	5	1
Left	20	472	6	22
Orthodox	20	472	6	9
Arab-Israeli	20	472	6	309
Micro	20	472	6	5
Right	20	472	6	7
Secular Centre	20	472	6	2
Sectoral	20	472	6	0
Left	20	473	1	29
Orthodox	20	473	1	11
Arab-Israeli	20	473	1	412
Micro	20	473	1	7
Right	20	473	1	18
Secular Centre	20	473	1	10
Sectoral	20	473	1	1
Left	20	473	2	18
Orthodox	20	473	2	3
Arab-Israeli	20	473	2	427
Micro	20	473	2	8
Right	20	473	2	5
Secular Centre	20	473	2	4
Sectoral	20	473	2	1
Left	20	473	3	27
Orthodox	20	473	3	12
Arab-Israeli	20	473	3	262
Micro	20	473	3	5
Right	20	473	3	136
Secular Centre	20	473	3	19
Sectoral	20	473	3	1
Left	20	473	4	20
Orthodox	20	473	4	6
Arab-Israeli	20	473	4	301
Micro	20	473	4	1
Right	20	473	4	61
Secular Centre	20	473	4	23
Sectoral	20	473	4	0
Left	20	473	5	36
Orthodox	20	473	5	6
Arab-Israeli	20	473	5	398
Micro	20	473	5	4
Right	20	473	5	77
Secular Centre	20	473	5	9
Sectoral	20	473	5	2
Left	20	473	6	30
Orthodox	20	473	6	38
Arab-Israeli	20	473	6	311
Micro	20	473	6	2
Right	20	473	6	106
Secular Centre	20	473	6	11
Sectoral	20	473	6	0
Left	20	473	7	23
Orthodox	20	473	7	37
Arab-Israeli	20	473	7	280
Micro	20	473	7	2
Right	20	473	7	131
Secular Centre	20	473	7	14
Sectoral	20	473	7	1
Left	20	473	8	19
Orthodox	20	473	8	18
Arab-Israeli	20	473	8	391
Micro	20	473	8	18
Right	20	473	8	19
Secular Centre	20	473	8	3
Sectoral	20	473	8	1
Left	20	473	9	33
Orthodox	20	473	9	14
Arab-Israeli	20	473	9	361
Micro	20	473	9	3
Right	20	473	9	75
Secular Centre	20	473	9	31
Sectoral	20	473	9	1
Left	20	473	10	34
Orthodox	20	473	10	22
Arab-Israeli	20	473	10	237
Micro	20	473	10	6
Right	20	473	10	111
Secular Centre	20	473	10	23
Sectoral	20	473	10	0
Left	20	473	11	67
Orthodox	20	473	11	29
Arab-Israeli	20	473	11	171
Micro	20	473	11	0
Right	20	473	11	208
Secular Centre	20	473	11	17
Sectoral	20	473	11	3
Left	20	473	12	29
Orthodox	20	473	12	41
Arab-Israeli	20	473	12	251
Micro	20	473	12	12
Right	20	473	12	117
Secular Centre	20	473	12	35
Sectoral	20	473	12	0
Left	20	958	1	0
Orthodox	20	958	1	0
Arab-Israeli	20	958	1	35
Micro	20	958	1	1
Right	20	958	1	0
Secular Centre	20	958	1	0
Sectoral	20	958	1	0
Left	20	968	1	19
Orthodox	20	968	1	4
Arab-Israeli	20	968	1	147
Micro	20	968	1	8
Right	20	968	1	6
Secular Centre	20	968	1	3
Sectoral	20	968	1	0
Left	20	968	2	20
Orthodox	20	968	2	4
Arab-Israeli	20	968	2	127
Micro	20	968	2	7
Right	20	968	2	4
Secular Centre	20	968	2	12
Sectoral	20	968	2	1
Left	20	968	3	30
Orthodox	20	968	3	5
Arab-Israeli	20	968	3	182
Micro	20	968	3	13
Right	20	968	3	1
Secular Centre	20	968	3	7
Sectoral	20	968	3	0
Left	20	968	4	21
Orthodox	20	968	4	2
Arab-Israeli	20	968	4	108
Micro	20	968	4	11
Right	20	968	4	0
Secular Centre	20	968	4	8
Sectoral	20	968	4	2
Left	20	1342	1	4
Orthodox	20	1342	1	3
Arab-Israeli	20	1342	1	50
Micro	20	1342	1	2
Right	20	1342	1	1
Secular Centre	20	1342	1	4
Sectoral	20	1342	1	0
Left	20	966	1	18
Orthodox	20	966	1	5
Arab-Israeli	20	966	1	123
Micro	20	966	1	5
Right	20	966	1	2
Secular Centre	20	966	1	4
Sectoral	20	966	1	0
Left	20	966	2	16
Orthodox	20	966	2	3
Arab-Israeli	20	966	2	104
Micro	20	966	2	8
Right	20	966	2	2
Secular Centre	20	966	2	5
Sectoral	20	966	2	0
Left	20	966	3	10
Orthodox	20	966	3	5
