Bloc	Knesset	Locality	Station	Votes
Left	17	70	10	73
Orthodox	17	70	10	29
Arab-Israeli	17	70	10	0
Micro	17	70	10	3
Sectoral	17	70	10	11
Right	17	70	10	40
Secular Centre	17	70	10	82
Left	17	100	10	10
Orthodox	17	100	10	96
Arab-Israeli	17	100	10	0
Micro	17	100	10	1
Sectoral	17	100	10	3
Right	17	100	10	60
Secular Centre	17	100	10	6
Left	17	110	10	69
Orthodox	17	110	10	3
Arab-Israeli	17	110	10	0
Micro	17	110	10	1
Sectoral	17	110	10	20
Right	17	110	10	38
Secular Centre	17	110	10	42
Left	17	130	10	80
Orthodox	17	130	10	5
Arab-Israeli	17	130	10	0
Micro	17	130	10	17
Sectoral	17	130	10	44
Right	17	130	10	41
Secular Centre	17	130	10	111
Left	17	150	10	17
Orthodox	17	150	10	77
Arab-Israeli	17	150	10	0
Micro	17	150	10	1
Sectoral	17	150	10	4
Right	17	150	10	71
Secular Centre	17	150	10	18
Left	17	160	10	120
Orthodox	17	160	10	1
Arab-Israeli	17	160	10	0
Micro	17	160	10	0
Sectoral	17	160	10	12
Right	17	160	10	1
Secular Centre	17	160	10	35
Left	17	180	10	66
Orthodox	17	180	10	4
Arab-Israeli	17	180	10	1
Micro	17	180	10	6
Sectoral	17	180	10	25
Right	17	180	10	29
Secular Centre	17	180	10	68
Left	17	220	10	48
Orthodox	17	220	10	3
Arab-Israeli	17	220	10	1
Micro	17	220	10	1
Sectoral	17	220	10	16
Right	17	220	10	34
Secular Centre	17	220	10	25
Left	17	230	10	14
Orthodox	17	230	10	0
Arab-Israeli	17	230	10	0
Micro	17	230	10	0
Sectoral	17	230	10	20
Right	17	230	10	16
Secular Centre	17	230	10	26
Left	17	240	10	166
Orthodox	17	240	10	1
Arab-Israeli	17	240	10	1
Micro	17	240	10	8
Sectoral	17	240	10	13
Right	17	240	10	23
Secular Centre	17	240	10	91
Left	17	260	10	178
Orthodox	17	260	10	4
Arab-Israeli	17	260	10	6
Micro	17	260	10	5
Sectoral	17	260	10	66
Right	17	260	10	40
Secular Centre	17	260	10	96
Left	17	260	20	167
Orthodox	17	260	20	14
Arab-Israeli	17	260	20	1
Micro	17	260	20	16
Sectoral	17	260	20	43
Right	17	260	20	64
Secular Centre	17	260	20	114
Left	17	260	30	129
