Bloc	Knesset	Locality	Station	Votes
Left	15	70	10	117
Orthodox	15	70	10	61
Arab-Israeli	15	70	10	0
Micro	15	70	10	1
Right	15	70	10	66
Secular Centre	15	70	10	23
Sectoral	15	70	10	3
Left	15	100	10	6
Orthodox	15	100	10	157
Arab-Israeli	15	100	10	0
Micro	15	100	10	0
Right	15	100	10	39
Secular Centre	15	100	10	5
Sectoral	15	100	10	1
Left	15	110	10	65
Orthodox	15	110	10	20
Arab-Israeli	15	110	10	0
Micro	15	110	10	4
Right	15	110	10	45
Secular Centre	15	110	10	30
Sectoral	15	110	10	3
Left	15	130	10	196
Orthodox	15	130	10	3
Arab-Israeli	15	130	10	0
Micro	15	130	10	8
Right	15	130	10	32
Secular Centre	15	130	10	50
Sectoral	15	130	10	8
Left	15	150	10	3
Orthodox	15	150	10	172
Arab-Israeli	15	150	10	1
Micro	15	150	10	1
Right	15	150	10	67
Secular Centre	15	150	10	2
Sectoral	15	150	10	0
Left	15	160	10	139
Orthodox	15	160	10	0
Arab-Israeli	15	160	10	3
Micro	15	160	10	0
Right	15	160	10	0
Secular Centre	15	160	10	5
Sectoral	15	160	10	5
Left	15	180	10	95
Orthodox	15	180	10	12
Arab-Israeli	15	180	10	0
Micro	15	180	10	1
Right	15	180	10	37
Secular Centre	15	180	10	27
Sectoral	15	180	10	0
Left	15	220	10	80
Orthodox	15	220	10	29
Arab-Israeli	15	220	10	0
Micro	15	220	10	1
Right	15	220	10	22
Secular Centre	15	220	10	21
Sectoral	15	220	10	2
Left	15	230	10	14
Orthodox	15	230	10	4
Arab-Israeli	15	230	10	0
Micro	15	230	10	4
Right	15	230	10	29
Secular Centre	15	230	10	14
Sectoral	15	230	10	4
Left	15	240	10	228
Orthodox	15	240	10	3
Arab-Israeli	15	240	10	3
Micro	15	240	10	3
Right	15	240	10	14
Secular Centre	15	240	10	30
Sectoral	15	240	10	0
Left	15	260	10	282
Orthodox	15	260	10	38
Arab-Israeli	15	260	10	3
Micro	15	260	10	12
Right	15	260	10	61
Secular Centre	15	260	10	62
Sectoral	15	260	10	74
Left	15	260	20	337
Orthodox	15	260	20	63
Arab-Israeli	15	260	20	4
Micro	15	260	20	23
Right	15	260	20	126
Secular Centre	15	260	20	105
Sectoral	15	260	20	36
Left	15	270	10	13
Orthodox	15	270	10	102
Arab-Israeli	15	270	10	0
Micro	15	270	10	1
Right	15	270	10	27
Secular Centre	15	270	10	14
Sectoral	15	270	10	0
Left	15	280	10	186
Orthodox	15	280	10	57
Arab-Israeli	15	280	10	1
Micro	15	280	10	3
Right	15	280	10	83
Secular Centre	15	280	10	102
Sectoral	15	280	10	4
Left	15	280	20	214
Orthodox	15	280	20	58
Arab-Israeli	15	280	20	0
Micro	15	280	20	8
Right	15	280	20	77
Secular Centre	15	280	20	99
Sectoral	15	280	20	16
Left	15	280	30	131
Orthodox	15	280	30	134
Arab-Israeli	15	280	30	2
Micro	15	280	30	8
Right	15	280	30	138
Secular Centre	15	280	30	46
Sectoral	15	280	30	20
Left	15	280	40	225
Orthodox	15	280	40	49
Arab-Israeli	15	280	40	1
Micro	15	280	40	18
Right	15	280	40	94
Secular Centre	15	280	40	107
Sectoral	15	280	40	10
Left	15	280	50	143
Orthodox	15	280	50	157
Arab-Israeli	15	280	50	2
Micro	15	280	50	11
Right	15	280	50	118
Secular Centre	15	280	50	84
Sectoral	15	280	50	22
Left	15	280	60	274
Orthodox	15	280	60	32
Arab-Israeli	15	280	60	0
Micro	15	280	60	10
Right	15	280	60	55
Secular Centre	15	280	60	143
Sectoral	15	280	60	5
Left	15	280	70	240
Orthodox	15	280	70	44
Arab-Israeli	15	280	70	1
Micro	15	280	70	2
Right	15	280	70	75
Secular Centre	15	280	70	77
Sectoral	15	280	70	12
Left	15	290	10	236
Orthodox	15	290	10	34
Arab-Israeli	15	290	10	3
Micro	15	290	10	15
Right	15	290	10	164
Secular Centre	15	290	10	109
Sectoral	15	290	10	10
Left	15	310	10	64
Orthodox	15	310	10	167
Arab-Israeli	15	310	10	1
Micro	15	310	10	20
Right	15	310	10	64
Secular Centre	15	310	10	17
Sectoral	15	310	10	3
Left	15	310	20	65
Orthodox	15	310	20	239
Arab-Israeli	15	310	20	0
Micro	15	310	20	17
Right	15	310	20	67
Secular Centre	15	310	20	21
Sectoral	15	310	20	27
Left	15	310	30	70
Orthodox	15	310	30	172
Arab-Israeli	15	310	30	0
Micro	15	310	30	17
Right	15	310	30	95
Secular Centre	15	310	30	18
Sectoral	15	310	30	20
Left	15	310	40	81
Orthodox	15	310	40	222
Arab-Israeli	15	310	40	0
Micro	15	310	40	21
Right	15	310	40	52
Secular Centre	15	310	40	12
Sectoral	15	310	40	14
Left	15	310	50	51
Orthodox	15	310	50	182
Arab-Israeli	15	310	50	1
Micro	15	310	50	31
Right	15	310	50	84
Secular Centre	15	310	50	13
Sectoral	15	310	50	91
Left	15	310	60	48
Orthodox	15	310	60	186
Arab-Israeli	15	310	60	5
Micro	15	310	60	17
Right	15	310	60	97
Secular Centre	15	310	60	23
Sectoral	15	310	60	21
Left	15	310	70	94
Orthodox	15	310	70	196
Arab-Israeli	15	310	70	1
Micro	15	310	70	26
Right	15	310	70	93
Secular Centre	15	310	70	29
Sectoral	15	310	70	70
