Bloc,Knesset,Votes,Latitude,Longitude
Left,23,2,31.160927,35.019757
Orthodox,23,2,31.160927,35.019757
Arab-Israeli,23,112,31.160927,35.019757
Micro,23,1,31.160927,35.019757
Right,23,1,31.160927,35.019757
Secular Centre,23,6,31.160927,35.019757
Left,23,6,31.160927,35.019757
Orthodox,23,0,31.160927,35.019757
Arab-Israeli,23,235,31.160927,35.019757
Micro,23,4,31.160927,35.019757
Right,23,2,31.160927,35.019757
Secular Centre,23,0,31.160927,35.019757
Left,23,5,31.160927,35.019757
Orthodox,23,0,31.160927,35.019757
Arab-Israeli,23,207,31.160927,35.019757
Micro,23,2,31.160927,35.019757
Right,23,2,31.160927,35.019757
Secular Centre,23,2,31.160927,35.019757
Left,23,15,32.7323987,35.212314
Orthodox,23,3,32.7323987,35.212314
Arab-Israeli,23,229,32.7323987,35.212314
Micro,23,2,32.7323987,35.212314
Right,23,32,32.7323987,35.212314
Secular Centre,23,11,32.7323987,35.212314
Left,23,6,32.7323987,35.212314
Orthodox,23,0,32.7323987,35.212314
Arab-Israeli,23,330,32.7323987,35.212314
Micro,23,3,32.7323987,35.212314
Right,23,25,32.7323987,35.212314
Secular Centre,23,18,32.7323987,35.212314
Left,23,3,32.0654088,34.8029694
Orthodox,23,6,32.0654088,34.8029694
Arab-Israeli,23,258,32.0654088,34.8029694
Micro,23,3,32.0654088,34.8029694
Right,23,52,32.0654088,34.8029694
Secular Centre,23,18,32.0654088,34.8029694
Left,23,16,32.6595831,35.1051293
Orthodox,23,2,32.6595831,35.1051293
Arab-Israeli,23,364,32.6595831,35.1051293
Micro,23,2,32.6595831,35.1051293
Right,23,53,32.6595831,35.1051293
Secular Centre,23,21,32.6595831,35.1051293
Left,23,11,32.0654088,34.8029694
Orthodox,23,2,32.0654088,34.8029694
Arab-Israeli,23,201,32.0654088,34.8029694
Micro,23,3,32.0654088,34.8029694
Right,23,41,32.0654088,34.8029694
Secular Centre,23,6,32.0654088,34.8029694
Left,23,13,32.6595831,35.1051293
Orthodox,23,1,32.6595831,35.1051293
Arab-Israeli,23,310,32.6595831,35.1051293
Micro,23,3,32.6595831,35.1051293
Right,23,26,32.6595831,35.1051293
Secular Centre,23,24,32.6595831,35.1051293
Left,23,6,32.7323987,35.212314
Orthodox,23,1,32.7323987,35.212314
Arab-Israeli,23,260,32.7323987,35.212314
Micro,23,2,32.7323987,35.212314
Right,23,33,32.7323987,35.212314
Secular Centre,23,17,32.7323987,35.212314
Left,23,5,32.0654088,34.8029694
Orthodox,23,3,32.0654088,34.8029694
Arab-Israeli,23,205,32.0654088,34.8029694
Micro,23,1,32.0654088,34.8029694
Right,23,28,32.0654088,34.8029694
Secular Centre,23,8,32.0654088,34.8029694
Left,23,13,32.95803,35.171969
Orthodox,23,8,32.95803,35.171969
Arab-Israeli,23,472,32.95803,35.171969
Micro,23,11,32.95803,35.171969
Right,23,22,32.95803,35.171969
Secular Centre,23,17,32.95803,35.171969
Left,23,2,32.95803,35.171969
Orthodox,23,1,32.95803,35.171969
Arab-Israeli,23,456,32.95803,35.171969
Micro,23,4,32.95803,35.171969
Right,23,2,32.95803,35.171969
Secular Centre,23,5,32.95803,35.171969
Left,23,2,32.95803,35.171969
Orthodox,23,13,32.95803,35.171969
Arab-Israeli,23,307,32.95803,35.171969
Micro,23,1,32.95803,35.171969
Right,23,47,32.95803,35.171969
Secular Centre,23,91,32.95803,35.171969
Left,23,2,32.95803,35.171969
Orthodox,23,15,32.95803,35.171969
Arab-Israeli,23,355,32.95803,35.171969
Micro,23,0,32.95803,35.171969
Right,23,22,32.95803,35.171969
Secular Centre,23,35,32.95803,35.171969
Left,23,16,32.95803,35.171969
Orthodox,23,16,32.95803,35.171969
Arab-Israeli,23,413,32.95803,35.171969
Micro,23,5,32.95803,35.171969
Right,23,18,32.95803,35.171969
Secular Centre,23,35,32.95803,35.171969
Left,23,4,32.95803,35.171969
Orthodox,23,53,32.95803,35.171969
Arab-Israeli,23,365,32.95803,35.171969
Micro,23,2,32.95803,35.171969
Right,23,29,32.95803,35.171969
Secular Centre,23,50,32.95803,35.171969
Left,23,4,32.95803,35.171969
Orthodox,23,47,32.95803,35.171969
Arab-Israeli,23,329,32.95803,35.171969
Micro,23,0,32.95803,35.171969
Right,23,42,32.95803,35.171969
Secular Centre,23,61,32.95803,35.171969
Left,23,8,32.95803,35.171969
Orthodox,23,25,32.95803,35.171969
Arab-Israeli,23,403,32.95803,35.171969
Micro,23,4,32.95803,35.171969
Right,23,11,32.95803,35.171969
Secular Centre,23,15,32.95803,35.171969
Left,23,9,32.95803,35.171969
Orthodox,23,8,32.95803,35.171969
Arab-Israeli,23,358,32.95803,35.171969
Micro,23,2,32.95803,35.171969
Right,23,31,32.95803,35.171969
Secular Centre,23,38,32.95803,35.171969
Left,23,11,32.95803,35.171969
Orthodox,23,10,32.95803,35.171969
Arab-Israeli,23,362,32.95803,35.171969
Micro,23,6,32.95803,35.171969
Right,23,29,32.95803,35.171969
Secular Centre,23,58,32.95803,35.171969
Left,23,6,32.95803,35.171969
Orthodox,23,26,32.95803,35.171969
Arab-Israeli,23,195,32.95803,35.171969
Micro,23,1,32.95803,35.171969
Right,23,61,32.95803,35.171969
Secular Centre,23,113,32.95803,35.171969
Left,23,9,32.95803,35.171969
Orthodox,23,26,32.95803,35.171969
Arab-Israeli,23,167,32.95803,35.171969
Micro,23,5,32.95803,35.171969
Right,23,75,32.95803,35.171969
Secular Centre,23,138,32.95803,35.171969
Left,23,6,32.95803,35.171969
Orthodox,23,5,32.95803,35.171969
Arab-Israeli,23,276,32.95803,35.171969
Micro,23,3,32.95803,35.171969
Right,23,47,32.95803,35.171969
Secular Centre,23,96,32.95803,35.171969
Left,23,0,31.30139699999999,34.841655
Orthodox,23,0,31.30139699999999,34.841655
Arab-Israeli,23,40,31.30139699999999,34.841655
Micro,23,0,31.30139699999999,34.841655
Right,23,0,31.30139699999999,34.841655
Secular Centre,23,0,31.30139699999999,34.841655
Left,23,4,31.103115,34.952003
Orthodox,23,0,31.103115,34.952003
Arab-Israeli,23,352,31.103115,34.952003
Micro,23,5,31.103115,34.952003
Right,23,1,31.103115,34.952003
Secular Centre,23,8,31.103115,34.952003
Left,23,0,31.103115,34.952003
Orthodox,23,0,31.103115,34.952003
Arab-Israeli,23,305,31.103115,34.952003
Micro,23,3,31.103115,34.952003
Right,23,1,31.103115,34.952003
Secular Centre,23,15,31.103115,34.952003
Left,23,4,31.103115,34.952003
Orthodox,23,0,31.103115,34.952003
Arab-Israeli,23,301,31.103115,34.952003
Micro,23,2,31.103115,34.952003
Right,23,3,31.103115,34.952003
Secular Centre,23,7,31.103115,34.952003
Left,23,1,31.103115,34.952003
Orthodox,23,0,31.103115,34.952003
Arab-Israeli,23,305,31.103115,34.952003
Micro,23,4,31.103115,34.952003
Right,23,4,31.103115,34.952003
Secular Centre,23,3,31.103115,34.952003
Left,23,9,31.103115,34.952003
Orthodox,23,0,31.103115,34.952003
Arab-Israeli,23,264,31.103115,34.952003
Micro,23,2,31.103115,34.952003
Right,23,4,31.103115,34.952003
Secular Centre,23,52,31.103115,34.952003
Left,23,8,31.249246,35.083681
Left,23,8,31.249246,35.083681
Left,23,8,31.249246,35.083681
Left,23,8,31.249246,35.083681
Left,23,8,31.249246,35.083681
Left,23,8,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Orthodox,23,4,31.249246,35.083681
Arab-Israeli,23,1431,31.249246,35.083681
Arab-Israeli,23,1431,31.249246,35.083681
Arab-Israeli,23,1431,31.249246,35.083681
